iMemberId,sMemberName,Name,iTeamId,sFavoriteHeros,num,iPosition,iAppearancesFrequency,iMVPFrequency,sAveragingGold,iKill,iAssists,iDeath,iLastLasthit,iKDA,sAveragingKill,sAveragingDeath,sAveragingAssists,sAveragingLastLasthit,sAveragingWardPlaced,sAveragingWardKilled,sAveragingOfferedRate
268,LNGDuan,Duan,9,"201,12,223",1,辅助,19,1,6987.5789,8,125,70,687,1.9,0.4211,3.6842,6.5789,36,46,11,0.618
311,JDGZoom,Zoom,29,"516,58,41",2,上单,48,5,12866.4583,148,305,109,12643,4.156,3.0833,2.2708,6.3542,271.5,14.5,5,0.6165
325,IGSouthwind,Southwind,2,"201,412,223",1,辅助,21,0,7220.381,12,149,52,707,3.0962,0.5714,2.4762,7.0952,33,47,9,0.616
329,ESWei,Wei,685,"64,104,59",1,打野,40,3,11011.775,130,213,125,7389,2.744,3.25,3.125,5.325,184,25,18,0.729
346,V5y4,y4,587,"110,236,22",2,ADC,6,1,12521.3333,19,34,7,1549,7.5714,3.1667,1.1667,5.6667,218,10.5,6.5,0.719
355,OMGicon,icon,6,"7,13,268",1,中单,41,4,12708.7073,127,201,115,11312,2.8522,3.0976,2.8049,4.9024,275,12,4,0.633
573,LGDLangx,Langx,4,"58,516,164",2,上单,51,2,12207.1569,117,271,141,13052,2.7518,2.2941,2.7647,5.3137,251.5,12.5,4.5,0.598
592,SNSofM,SofM,41,"64,59,79",2,打野,52,11,10868.6731,125,375,136,9580,3.6765,2.4038,2.6154,7.2115,185.5,23,18,0.667
611,IGBaolan,Baolan,2,"201,223,12",2,辅助,19,2,7099.2105,17,186,58,660,3.5,0.8947,3.0526,9.7895,32,43,7,0.6455
1181,VGMaestro,Maestro,11,"223,201,12",1,辅助,17,1,7498.2353,14,120,48,590,2.7917,0.8235,2.8235,7.0588,34,51,8,0.529
1187,JDGLokeN,LokeN,29,"81,110,498",2,ADC,48,7,14091.375,205,322,86,14370,6.1279,4.2708,1.7917,6.7083,306.5,12.5,9,0.6975
1200,LGDKillua,Killua,4,"223,201,12",2,辅助,4,0,6871.5,2,34,11,85,3.2727,0.5,2.75,8.5,19.5,47.5,11,0.8345
1207,TESyuyanjia,yuyanjia,42,"223,12,412",2,辅助,44,2,7675.7955,30,457,110,1398,4.4273,0.6818,2.5,10.3864,32,54,9,0.6495
1222,LGDPeanut,Peanut,4,"104,64,203",2,打野,52,4,11058.8077,152,331,121,9752,3.9917,2.9231,2.3269,6.3654,184.5,11,17.5,0.7175
1233,RWCrazy,razy,422,"516,58,150",1,上单,3,0,9455,1,9,10,647,1,0.3333,3.3333,3,215,13,3,0.45
1245,LGDKramer,Kramer,4,"81,110,22",2,ADC,52,4,14015.1154,185,278,96,15794,4.8229,3.5577,1.8462,5.3462,295.5,14,10,0.6875
1260,RNGMing,Ming,8,"223,12,111",1,辅助,39,1,7702.3077,31,315,106,1642,3.2642,0.7949,2.7179,8.0769,42,54,11,0.63
1266,FPXLwx,Lwx,7,"145,110,81",2,ADC,42,3,13315.2143,147,252,96,11820,4.1563,3.5,2.2857,6,277,14,11.5,0.703
1267,FPXCrisp,Crisp,7,"111,201,223",2,辅助,45,4,7464.0889,41,338,134,1843,2.8284,0.9111,2.9778,7.5111,36,48,6.5,0.643
1276,TESQiuQiu,QiuQiu,42,"110,202,51",1,ADC,2,0,13680.5,8,23,7,540,4.4286,4,3.5,11.5,270,16,11,0.63
1443,RNGBetty,Betty,8,"21,110,235",1,ADC,18,2,13314.1667,62,81,24,5178,5.9583,3.4444,1.3333,4.5,287,18,13,0.673
1447,IGPuff,Puff,2,"110,81,523",2,ADC,44,3,13120.9545,188,202,97,12298,4.0206,4.2727,2.2045,4.5909,249,9.5,9,0.6015
1458,FPXTian,Tian,7,"64,79,60",2,打野,45,2,10800.4667,126,300,130,8174,3.2769,2.8,2.8889,6.6667,173,16.5,12.5,0.739
1464,JDGLvMao,LvMao,29,"12,223,89",2,辅助,48,3,7627.9167,32,467,141,1700,3.539,0.6667,2.9375,9.7292,35.5,57,12,0.629
1470,EDGHope,Hope,1,"21,145,81",1,ADC,32,4,15104.2188,136,206,67,10554,5.1045,4.25,2.0938,6.4375,329,15,14,0.69
1473,EDGAodi,Aodi,1,"516,875,122",1,上单,20,0,12266.35,43,129,55,4862,3.1273,2.15,2.75,6.45,243,15,5,0.577
1476,OMGH4cker,H4cker,6,"64,48,113",1,打野,41,2,10307.5854,82,250,125,7106,2.656,2,3.0488,6.0976,173,15,12,0.672
1478,IGTheShy,TheShy,2,"85,126,266",2,上单,44,6,12347.0455,135,213,165,10781,2.1091,3.0682,3.75,4.8409,227,9.5,4,0.4685
1479,IGNing,Ning,2,"64,59,79",2,打野,44,7,10073.3636,121,304,107,7168,3.972,2.75,2.4318,6.9091,149.5,9,7.5,0.6695
1496,V5Mole,Mole,587,"142,13,134",2,中单,49,10,11426.4694,162,270,115,11434,3.7565,3.3061,2.3469,5.5102,239.5,9,4.5,0.6325
1522,RWHaro,Haro,422,"64,113,2",1,打野,31,4,11656.9032,107,175,85,6384,3.3176,3.4516,2.7419,5.6452,205,14,12,0.725
1534,JDGYagao,Yagao,29,"7,142,3",2,中单,48,6,13177.75,184,328,84,12836,6.0952,3.8333,1.75,6.8333,267,12.5,7.5,0.6715
1559,BLGXinMo,XinMo,57,"111,201,223",1,辅助,39,0,7199.9744,21,277,119,1200,2.5042,0.5385,3.0513,7.1026,30,56,9,0.646
1575,ESFenfen,Fenfen,685,"38,3,39",1,中单,38,2,11969.5789,91,218,103,9507,3,2.3947,2.7105,5.7368,250,11,5,0.653
1579,BLGFoFo,FoFo,57,"142,7,268",1,中单,39,6,12816.9231,142,175,90,10553,3.5222,3.641,2.3077,4.4872,270,14,6,0.713
1636,BLGADD,ADD,57,"41,14,78",1,上单,8,1,11570,17,53,33,1839,2.1212,2.125,4.125,6.625,229,17,6,0.625
1668,VGiBoy,iBoy,11,"145,81,110",1,ADC,41,3,13884.2927,139,211,94,12513,3.7234,3.3902,2.2927,5.1463,305,17,14,0.689
1824,LNGXx,Xx,9,"79,59,2",1,打野,36,0,9764.9722,46,220,84,6099,3.1667,1.2778,2.3333,6.1111,169,13,12,0.715
1832,TESJackeyLove,JackeyLove,42,"81,110,145",2,ADC,42,11,14217.5952,205,278,117,12302,4.1282,4.881,2.7857,6.619,292,11.5,15,0.7215
1871,LNGLight,Light,9,"81,110,145",1,ADC,36,2,13193.9722,121,144,77,10485,3.4416,3.3611,2.1389,4,291,12,9,0.708
1893,RWRuby,Ruby,422,"268,7,142",1,中单,18,0,11767.3333,62,103,63,4284,2.619,3.4444,3.5,5.7222,238,15,9,0.723
1932,RWZWuJi,ZWuJi,422,"81,51,145",1,ADC,36,2,12974.3611,100,198,100,10261,2.98,2.7778,2.7778,5.5,285,11,13,0.673
1956,DMOHelper,Helper,438,"110,429,498",1,ADC,6,0,11561,14,20,16,1392,2.125,2.3333,2.6667,3.3333,232,12,9,0.753
1970,DMOTwila,Twila,438,"69,13,26",1,中单,36,1,12005.3333,92,154,122,9376,2.0164,2.5556,3.3889,4.2778,260,13,6,0.622
1971,DMOXiaopeng,Xiaopeng,438,"64,421,56",1,打野,34,1,10356.9118,73,171,129,6088,1.8915,2.1471,3.7941,5.0294,179,16,17,0.752
1978,DMOMitsuki,Mitsuki,438,"412,111,201",1,辅助,15,0,6663.9333,6,88,57,476,1.6491,0.4,3.8,5.8667,31,42,5,0.646
1983,DMOChelizi,Chelizi,438,"14,58,62",1,上单,30,1,12074.4,72,128,96,7451,2.0833,2.4,3.2,4.2667,248,13,4,0.624
1984,BLGMeteor,Meteor,57,"48,2,59",1,打野,27,4,11677.2222,67,198,58,5378,4.569,2.4815,2.1481,7.3333,199,13,17,0.778
2011,RWLey,Ley,422,"412,223,12",1,辅助,33,2,7273.1818,16,270,106,1174,2.6981,0.4848,3.2121,8.1818,35,47,12,0.692
2024,OMGSora,Sora,6,"223,12,201",1,辅助,14,1,7186.6429,12,113,31,513,4.0323,0.8571,2.2143,8.0714,36,54,11,0.757
2027,V5Biubiu,Biubiu,587,"58,516,126",2,上单,49,2,11457.1633,128,236,108,11272,3.3704,2.6122,2.2041,4.8163,235.5,12,5.5,0.544
2046,VGAix,Aix,11,"2,59,113",1,打野,19,2,10802.7368,49,114,36,3458,4.5278,2.5789,1.8947,6,182,13,14,0.672
2064,RNGCryin,Cryin,8,"13,268,42",1,中单,4,1,13188.75,11,8,5,1219,3.8,2.75,1.25,2,304,13,4,0.832
2091,BLGl3est16,l3est16,57,"2,113,48",1,打野,12,0,9533.3333,19,53,32,2007,2.25,1.5833,2.6667,4.4167,167,12,13,0.722
2147,TES369,369,42,"58,41,8",2,上单,44,4,13177.8409,136,289,112,11819,3.7946,3.0909,2.5455,6.5682,277,10,9,0.565
2150,V5Weiwei,Weiwei,587,"48,2,104",2,打野,49,5,10489.3265,140,328,92,8697,5.087,2.8571,1.8776,6.6939,172,13.5,13.5,0.7385
2208,WEMissing,Missing,12,"201,412,89",2,辅助,47,3,7689.3404,36,398,160,1840,2.7125,0.766,3.4043,8.4681,35,51.5,11.5,0.6925
2212,RWHolder,older,422,"266,58,62",1,上单,33,1,11085.1515,79,169,130,7070,1.9077,2.3939,3.9394,5.1212,214,9,5,0.625
2268,SNAngel,Angel,41,"142,134,7",2,中单,52,5,12556.0385,176,319,113,13370,4.3805,3.3846,2.1731,6.1346,258,14,6,0.6555
2272,WEJiumeng,Jiumeng,12,"81,22,523",2,ADC,47,12,14529.9149,205,266,119,14765,3.958,4.3617,2.5319,5.6596,293.5,12,11.5,0.694
2281,LNGchenlun17,chenlun17,9,"8,164,126",1,上单,15,1,11455.4667,31,46,43,3680,1.7907,2.0667,2.8667,3.0667,245,12,5,0.535
2284,SNhuanfeng,huanfeng,41,"498,145,21",2,ADC,52,8,14090.1538,189,286,102,15616,4.6569,3.6346,1.9615,5.5,289.5,13.5,8.5,0.6495
2304,DMONatural,Natural,438,"164,24,266",1,上单,6,0,11498.6667,8,12,30,1557,0.6667,1.3333,5,2,259,12,6,0.441
2346,VGCube,Cube,11,"58,516,82",1,上单,41,2,12260.8293,87,217,104,10706,2.9231,2.122,2.5366,5.2927,261,17,4,0.584
2353,ESXiaobai,Xiaobai,685,"516,58,62",1,上单,35,0,11467.0286,82,149,110,8254,2.1,2.3429,3.1429,4.2571,235,12,4,0.498
2355,LGDMark,Mark,4,"111,89,223",2,辅助,48,4,7590.2917,24,398,114,1679,3.7018,0.5,2.375,8.2917,33,52.5,11.5,0.6695
2357,RNGGALA,GALA,8,"145,110,498",1,ADC,21,4,14621.4762,81,141,43,6761,5.1628,3.8571,2.0476,6.7143,321,9,10,0.648
2463,RWYoudang,Youdang,422,"421,79,59",1,打野,5,0,8553.6,7,18,22,655,1.1364,1.4,4.4,3.6,131,10,7,0.656
2548,BLGKingen,Kingen,57,"516,266,82",1,上单,31,1,11702.6452,63,144,106,7394,1.9528,2.0323,3.4194,4.6452,238,13,6,0.649
2562,TESknight,knight,42,"142,134,42",2,中单,44,12,14041.6591,239,299,76,12641,7.0789,5.4318,1.7273,6.7955,284,11,9.5,0.715
2563,ESWink,Wink,685,"523,110,81",1,ADC,31,7,13811.6129,95,154,94,9650,2.6489,3.0645,3.0323,4.9677,311,13,11,0.625
2573,WEbeishang,beishang,12,"2,59,104",2,打野,47,5,11516.6596,141,314,93,9433,4.8925,3,1.9787,6.6809,193.5,10.5,13,0.8085
2600,VGHang,Hang,11,"223,111,350",1,辅助,24,0,7368.5,12,156,70,1242,2.4,0.5,2.9167,6.5,51,52,13,0.651
2615,ESrat,rat,685,"498,110,22",1,ADC,9,0,13052.1111,30,44,20,2555,3.7,3.3333,2.2222,4.8889,283,12,8,0.625
2630,OMGAliez,Aliez,6,"58,266,126",1,上单,1,0,8627,1,0,3,207,0.3333,1,3,0,207,12,4,0.5
2653,WETeacherma,Teacherma,12,"3,136,68",2,中单,47,2,12309.5532,138,312,116,11977,3.8793,2.9362,2.4681,6.6383,239,13.5,5,0.703
2662,V5ppgod,ppgod,587,"111,412,99",2,辅助,49,3,7027.0408,20,434,122,1515,3.7213,0.4082,2.4898,8.8571,30.5,46,10,0.685
2677,WEMorgan,Morgan,12,"58,516,266",2,上单,47,3,11939.7021,92,270,114,11558,3.1754,1.9574,2.4255,5.7447,239.5,11.5,7.5,0.4625
2680,OMGCurse,Curse,6,"58,266,39",1,上单,40,4,12996.45,128,162,140,10755,2.0714,3.2,3.5,4.05,268,12,6,0.602
2687,SNBin,Bin,41,"58,266,41",2,上单,52,4,13405.0385,173,268,158,13861,2.7911,3.3269,3.0385,5.1538,256,11.5,5,0.578
2693,IGReheal,Reheal,2,"497,223,25",1,辅助,4,0,6873.25,0,37,16,121,2.3125,0,4,9.25,30,37,7,0.745
2694,RNG705,705,8,"58,82,266",1,上单,1,0,7857,1,2,2,178,1.5,1,2,2,178,11,2,0.6
2709,ESCJJ,CJJ,685,"84,266,126",1,上单,1,0,11453,0,3,4,272,0.75,0,4,3,272,21,5,0.6
2757,ESShiauC,ShiauC,685,"412,111,89",1,辅助,40,0,7434.35,34,300,147,1372,2.2721,0.85,3.675,7.5,34,57,11,0.693
2762,OMGEric,Eric,6,"81,15,145",1,ADC,7,0,13017.4286,28,40,24,1893,2.8333,4,3.4286,5.7143,270,13,11,0.694
2770,EDGJiejie,Jiejie,1,"64,59,48",1,打野,27,5,11026.1481,82,225,49,4514,6.2653,3.037,1.8148,8.3333,167,18,14,0.743
2771,JDGKanavi,Kanavi,29,"64,104,203",2,打野,48,11,11844.7083,169,345,122,9986,4.2131,3.5208,2.5417,7.1875,214.5,11,15,0.6755
2778,VGForge,Forge,11,"517,39,7",1,中单,7,0,11989,12,39,26,1914,1.9615,1.7143,3.7143,5.5714,273,13,7,0.788
2798,VGLeyan,Leyan,11,"517,76,48",1,打野,22,2,11278.5909,59,111,73,4636,2.3288,2.6818,3.3182,5.0455,210,12,19,0.673
2813,RWWuming,Wuming,422,"142,3,517",1,中单,18,2,11134.8333,44,96,36,4110,3.8889,2.4444,2,5.3333,228,14,5,0.668
2820,LGDGarvey,Garvey,4,"39,266,58",1,上单,1,0,10723,3,1,3,216,1.3333,3,3,1,216,13,4,0.57
2995,BLGWings,Wings,57,"523,22,429",1,ADC,38,3,14301.8158,108,183,89,12535,3.2697,2.8421,2.3421,4.8158,329,16,13,0.605
2998,EDGJunJia,JunJia,1,"113,59,421",1,打野,10,0,11926.2,32,65,26,1956,3.7308,3.2,2.6,6.5,195,20,16,0.743
2999,EDGXiaoxiang,Xiaoxiang,1,"58,164,41",1,上单,19,1,13202.6842,80,120,55,4854,3.6364,4.2105,2.8947,6.3158,255,15,7,0.649
3006,LNGIwandy,Iwandy,9,"89,412,223",1,辅助,17,1,7129.5882,6,114,39,723,3.0769,0.3529,2.2941,6.7059,42,52,12,0.709
3007,OMGcold,cold,6,"223,111,412",1,辅助,27,0,7549.7407,16,205,81,943,2.7284,0.5926,3,7.5926,34,56,11,0.645
3009,RNGXLB,XLB,8,"64,421,59",1,打野,39,5,10551.2821,126,232,90,6550,3.9778,3.2308,2.3077,5.9487,167,20,15,0.695
3018,VGZeka,Zeka,11,"142,7,3",1,中单,34,7,12432.6471,132,170,47,8561,6.4255,3.8824,1.3824,5,251,14,5,0.688
3050,RWxunyu,xunyu,422,"111,412,43",1,辅助,3,0,7664.6667,3,18,22,124,0.9545,1,7.3333,6,41,54,10,0.643
3054,V5Samd,Samd,587,"22,429,81",2,ADC,43,7,13442.7442,158,220,81,12848,4.6667,3.6744,1.8837,5.1163,298.5,13.5,13.5,0.6305
3064,BLGWings,Wings,57,"61,69,268",1,ADC,1,1,13030,6,6,0,295,,6,0,6,295,11,8,0.85
3122,RNGNew,New,8,"62,516,58",1,上单,38,0,11898.4211,86,182,103,9271,2.6019,2.2632,2.7105,4.7895,243,12,5,0.48
3131,ESirma,irma,685,"3,875,4",1,中单,2,0,12025.5,4,6,5,522,2,2,2.5,3,261,13,4,0.615
3146,EDGBBD,BBD,1,"81,523,235",1,ADC,5,0,13382.8,19,26,11,1313,4.0909,3.8,2.2,5.2,262,15,11,0.638
3171,DMOYui,Yui,438,"875,89,201",1,辅助,21,0,7328.8095,15,134,78,758,1.9103,0.7143,3.7143,6.381,36,50,10,0.639
3189,DMOxubin,xubin,438,"22,523,81",1,ADC,30,3,13165.3333,79,135,77,8752,2.7792,2.6333,2.5667,4.5,291,12,12,0.634
3207,ESCJJ,CJJ,685,"58,114,126",1,上单,4,0,12387.75,8,23,15,1124,2.0667,2,3.75,5.75,281,12,6,0.61
