iMemberId,sMemberName,Name,iTeamId,sFavoriteHeros,num,iPosition,iAppearancesFrequency,iMVPFrequency,sAveragingGold,iKill,iAssists,iDeath,iLastLasthit,iKDA,sAveragingKill,sAveragingDeath,sAveragingAssists,sAveragingLastLasthit,sAveragingWardPlaced,sAveragingWardKilled,sAveragingOfferedRate
573,RNGLangx,Langx,8,"58,164,516",2,上单,43,3,12683.4884,113,194,82,11610,3.7439,2.6279,1.907,4.5116,271,14,5,0.5055
592,LNGSofM,SofM,9,"64,79,59",2,打野,43,8,11408.186,105,296,113,7603,3.5487,2.4419,2.6279,6.8837,168.5,37,18.5,0.6585
611,IGBaolan,Baolan,2,"201,223,12",2,辅助,36,2,7419.3611,26,351,108,1288,3.4907,0.7222,3,9.75,43,41,8.5,0.6305
1179,JDGFlawless,Flawless,29,"59,64,121",1,打野,23,3,11249.8696,59,156,64,3918,3.3594,2.5652,2.7826,6.7826,170,28,15,0.737
1180,V5Ben4,Ben4,587,"64,104,60",1,打野,35,0,10069.3714,84,225,119,5215,2.5966,2.4,3.4,6.4286,149,19,12,0.67
1181,LNGMaestro,Maestro,9,"223,201,12",1,辅助,5,0,7630,5,34,25,255,1.56,1,5,6.8,51,59,3,0.482
1187,TESLokeN,LokeN,42,"81,110,498",2,ADC,41,1,12994.7317,128,209,71,10848,4.7465,3.122,1.7317,5.0976,273,14,11,0.5985
1194,LGDRD,RD,4,"110,51,96",1,辅助,22,0,8066.8182,18,137,77,1210,2.013,0.8182,3.5,6.2273,55,47,7,0.717
1200,RWKillua,Killua,422,"223,201,12",1,辅助,18,0,8410.5,10,147,42,1087,3.7381,0.5556,2.3333,8.1667,60,57,6,0.65
1245,LGDKramer,Kramer,4,"81,110,145",1,ADC,37,5,14621.2432,136,154,72,12044,4.0278,3.6757,1.9459,4.1622,325,14,11,0.672
1249,VG?Ian,?Ian,11,"268,42,13",1,中单,7,0,10580.1429,7,30,20,1700,1.85,1,2.8571,4.2857,242,14,5,0.592
1252,JDGXiaohan,Xiaohan,29,"64,421,79",1,打野,3,1,10593.6667,10,24,7,469,4.8571,3.3333,2.3333,8,156,9,13,0.736
1260,RNGMing,Ming,8,"223,12,201",2,辅助,47,1,8636.9787,54,447,102,1992,4.9118,1.1489,2.1702,9.5106,39.5,61.5,12,0.729
1263,TESBen,Ben,42,"201,497,412",2,辅助,34,3,7429.6765,24,269,72,1133,4.0694,0.7059,2.1176,7.9118,32.5,42,7.5,0.563
1266,FPXLwx,Lwx,7,"145,110,81",2,ADC,41,15,15340.3659,247,231,75,12873,6.3733,6.0244,1.8293,5.6341,338,11.5,13.5,0.649
1267,FPXCrisp,Crisp,7,"201,223,111",2,辅助,41,1,8689.0732,50,428,99,1882,4.8283,1.2195,2.4146,10.439,56,58,10.5,0.6215
1269,IGDuke,Duke,2,"41,266,98",2,上单,4,0,11956.75,13,18,12,964,2.5833,3.25,3,4.5,235.5,10.5,2,0.45
1276,TESQiuQiu,QiuQiu,42,"110,202,51",2,辅助,8,1,8561.625,10,79,14,384,6.3571,1.25,1.75,9.875,37.5,49,13,0.6975
1397,OMGY1han,Y1han,6,"59,64,113",1,打野,8,1,10447.75,19,29,27,1231,1.7778,2.375,3.375,3.625,153,11,14,0.772
1447,VGPuff,Puff,11,"110,523,81",1,ADC,37,3,14392.8649,120,135,83,12257,3.0723,3.2432,2.2432,3.6486,331,11,15,0.694
1458,FPXTian,Tian,7,"64,79,60",2,打野,41,5,11366.6098,136,350,95,6941,5.1158,3.3171,2.3171,8.5366,180.5,33,22,0.67
1464,JDGLvMao,LvMao,29,"223,12,201",1,辅助,34,3,8414.6765,36,285,107,1548,3,1.0588,3.1471,8.3824,45,48,10,0.688
1468,VGCorn,Corn,11,"3,39,7",1,中单,3,0,10135.6667,2,5,6,734,1.1667,0.6667,2,1.6667,244,13,3,0.313
1470,EDGHope,Hope,1,"21,145,81",1,ADC,2,0,10205,5,8,11,426,1.1818,2.5,5.5,4,213,10,9,0.715
1473,VGPuff,Puff,11,"516,875,122",1,ADC,1,0,15933,1,5,2,377,3,1,2,5,377,17,18,0.66
1476,SNH4cker,H4cker,41,"64,113,48",2,打野,7,0,9636,7,34,12,1125,3.4167,1,1.7143,4.8571,162,27.5,15.5,0.711
1478,IGTheShy,TheShy,2,"85,126,266",2,上单,40,6,11905.25,121,215,136,9450,2.4706,3.025,3.4,5.375,237.5,9.5,2,0.4485
1479,IGNing,Ning,2,"64,59,79",2,打野,38,6,10559.3684,130,235,143,6158,2.5524,3.4211,3.7632,6.1842,139.5,16,11.5,0.7115
1483,TESMoyu,Moyu,42,"150,41,85",1,上单,4,0,13447.75,9,15,12,1133,2,2.25,3,3.75,283,11,7,0.642
1496,V5Mole,Mole,587,"142,13,39",1,上单,32,6,11534.9688,115,148,115,7405,2.287,3.5938,3.5938,4.625,231,11,5,0.672
1520,LNGAsura,Asura,9,"145,81,51",2,ADC,43,4,15517.6744,191,190,92,14110,4.1413,4.4419,2.1395,4.4186,316.5,10,9,0.571
1522,RWHaro,Haro,422,"64,113,2",1,辅助,25,3,10805.84,68,119,71,4252,2.6338,2.72,2.84,4.76,170,24,13,0.679
1534,JDGYagao,Yagao,29,"7,142,268",1,中单,36,3,13027.0278,109,211,93,9894,3.4409,3.0278,2.5833,5.8611,274,12,10,0.681
1559,BLGXinMo,XinMo,57,"111,201,223",2,辅助,47,1,8452.1277,30,387,102,2324,4.0882,0.6383,2.1702,8.234,49,49.5,8.5,0.6575
1563,OMGChelly,Chelly,6,"110,429,81",1,辅助,7,0,6776.4286,6,28,27,301,1.2593,0.8571,3.8571,4,43,36,9,0.692
1575,LNGFenfen,Fenfen,9,"38,3,39",2,中单,12,0,14439.5833,56,74,34,3482,3.8235,4.6667,2.8333,6.1667,290,14.5,14,0.64
1636,BLGADD,ADD,57,"41,14,78",2,上单,47,3,12421.766,115,241,141,11673,2.5248,2.4468,3,5.1277,246.5,16,6.5,0.5885
1644,V5y4,y4,587,"236,81,145",1,ADC,35,2,12733.2286,127,158,101,9121,2.8218,3.6286,2.8857,4.5143,260,12,7,0.581
1663,OMGGuoguo,Guoguo,6,"13,268,61",1,中单,2,0,8690.5,0,2,5,448,0.4,0,2.5,1,224,15,2,0.25
1664,OMGHudie,Hudie,6,"201,223,12",1,辅助,16,0,7968.0625,7,123,58,822,2.2414,0.4375,3.625,7.6875,51,49,9,0.63
1668,EDGiBoy,iBoy,1,"145,81,110",2,ADC,42,6,14372.1429,165,226,74,12745,5.2838,3.9286,1.7619,5.381,303,11,15,0.6355
1797,JDGTeeen,Teeen,29,"412,111,223",1,辅助,2,0,7650.5,0,6,9,128,0.6667,0,4.5,3,64,55,8,0.73
1824,TESXx,Xx,42,"79,59,2",2,打野,36,2,9748.1944,86,257,76,5043,4.5132,2.3889,2.1111,7.1389,143,24.5,13.5,0.683
1830,LGDYuuki,Yuuki,4,"268,142,13",1,中单,37,1,12141.027,86,184,108,9879,2.5,2.3243,2.9189,4.973,267,12,8,0.618
1832,IGJackeyLove,JackeyLove,2,"110,81,145",2,ADC,44,4,13592.5227,182,239,117,12669,3.5983,4.1364,2.6591,5.4318,294.5,10.5,11.5,0.6365
1844,LGDbadeMan,badeMan,4,"2,79,72",1,打野,17,1,9190.1765,26,99,75,2252,1.6667,1.5294,4.4118,5.8235,132,20,11,0.675
1932,RWZWuJi,ZWuJi,422,"81,51,145",1,ADC,37,5,13594.8919,115,176,81,10902,3.5926,3.1081,2.1892,4.7568,294,11,12,0.666
1970,DMOTwila,Twila,438,"69,13,26",1,中单,36,0,12703.7778,89,169,84,10104,3.0714,2.4722,2.3333,4.6944,280,14,9,0.603
1971,DMOXiaopeng,Xiaopeng,438,"64,421,56",1,打野,26,1,10480.5385,62,156,83,4074,2.6265,2.3846,3.1923,6,156,17,15,0.688
1983,VGChelizi,Chelizi,11,"14,516,62",1,上单,21,1,11555.7143,30,56,52,5473,1.6538,1.4286,2.4762,2.6667,260,14,5,0.485
1984,BLGMeteor,Meteor,57,"48,2,59",2,打野,47,9,11597.5106,149,296,110,8619,4.0455,3.1702,2.3404,6.2979,184.5,24.5,17.5,0.7195
2027,SNBiubiu,Biubiu,41,"58,516,266",1,上单,17,1,12247.1765,38,82,50,4394,2.4,2.2353,2.9412,4.8235,258,15,6,0.551
2043,VGJay,Jay,11,"142,13,7",1,中单,28,4,12130.1071,81,119,81,7137,2.4691,2.8929,2.8929,4.25,254,12,9,0.635
2046,VGAix,Aix,11,"2,59,113",1,打野,23,2,10250.2609,48,135,67,3527,2.7313,2.087,2.913,5.8696,153,22,14,0.664
2061,OMGKane,Kane,6,"81,145,498",1,ADC,22,1,12996.5909,50,74,55,6573,2.2545,2.2727,2.5,3.3636,298,12,11,0.608
2147,TES369,369,42,"58,41,8",2,上单,38,3,11941.7105,96,203,92,9326,3.25,2.5263,2.4211,5.3421,251,12.5,5.5,0.5615
2150,SNWeiwei,Weiwei,41,"48,104,79",1,打野,31,4,10961.129,93,208,100,5008,3.01,3,3.2258,6.7097,161,31,17,0.713
2208,WEMissing,Missing,12,"201,412,111",1,辅助,37,2,8697.7027,42,338,109,2019,3.4862,1.1351,2.9459,9.1351,54,45,8,0.696
2212,RWHolder,Holder,422,"266,58,62",1,上单,36,1,12212.9444,84,127,114,9094,1.8509,2.3333,3.1667,3.5278,252,14,6,0.534
2268,SNAngel,Angel,41,"142,7,134",2,上单,21,1,12927.1429,76,86,57,5573,2.8421,3.619,2.7143,4.0952,266,14.5,5.5,0.6105
2272,WEJiumeng,Jiumeng,12,"523,81,21",1,ADC,2,0,10750.5,0,6,7,557,0.8571,0,3.5,3,278,10,12,0.375
2304,DMONatural,Natural,438,"164,24,266",1,上单,17,2,13487.4118,55,62,39,5013,3,3.2353,2.2941,3.6471,294,13,4,0.492
2308,LGDKui,Kui,4,"104,48,64",1,打野,4,0,10534.5,11,21,15,585,2.1333,2.75,3.75,5.25,146,26,13,0.797
2341,V5otto,otto,587,"117,13,142",1,中单,2,0,8328.5,0,6,8,382,0.75,0,4,3,191,12,3,0.54
2346,VGCube,Cube,11,"58,516,8",1,上单,17,0,12204.8824,40,67,29,4490,3.6897,2.3529,1.7059,3.9412,264,14,4,0.491
2355,DMOMark,Mark,438,"111,223,497",1,辅助,36,3,7961.75,25,270,73,1280,4.0411,0.6944,2.0278,7.5,35,48,13,0.672
2356,DMOChanghong,Changhong,438,"14,41,266",1,上单,19,1,12354.4737,47,69,72,4703,1.6111,2.4737,3.7895,3.6316,247,12,3,0.558
2357,DMOGALA,GALA,438,"145,110,498",1,ADC,36,4,14235.6667,119,141,71,11457,3.662,3.3056,1.9722,3.9167,318,12,11,0.591
2463,VGYoudang,Youdang,11,"421,79,59",1,上单,15,0,9613.6,23,59,46,2313,1.7826,1.5333,3.0667,3.9333,154,19,16,0.789
2562,TESKnight9,Knight9,42,"142,134,42",2,中单,42,15,13201.2619,186,188,79,11714,4.7342,4.4286,1.881,4.4762,295.5,10,9.5,0.592
2566,RWHuaTian,HuaTian,422,"39,42,157",1,中单,37,3,12575.7838,88,165,127,10319,1.9921,2.3784,3.4324,4.4595,278,17,6,0.599
2571,WEPoss,Poss,12,"14,6,83",1,上单,35,1,11294.1429,65,196,104,7999,2.5096,1.8571,2.9714,5.6,228,13,4,0.497
2573,WEbeishang,beishang,12,"2,59,64",1,打野,37,5,10511.2432,94,254,101,5984,3.4455,2.5405,2.7297,6.8649,161,15,14,0.651
2575,OMGPenguin,Penguin,6,"59,5,113",1,打野,6,0,9801.6667,6,48,18,874,3,1,3,8,145,17,9,0.653
2587,RWHuanggai,Huanggai,422,"412,223,201",1,辅助,18,0,7382,9,118,53,741,2.3962,0.5,2.9444,6.5556,41,46,9,0.69
2630,V5Aliez,Aliez,587,"58,266,875",1,中单,7,0,10828.2857,17,26,29,1569,1.4828,2.4286,4.1429,3.7143,224,13,6,0.454
2633,V5Windy,Windy,587,"517,157,134",1,中单,29,0,11013.7586,76,124,111,6569,1.8018,2.6207,3.8276,4.2759,226,14,6,0.474
2646,RWWeiYan,WeiYan,422,"59,2,30",1,打野,12,1,10025.5833,28,63,33,1768,2.7576,2.3333,2.75,5.25,147,14,12,0.748
2667,IGLucas,Lucas,2,"201,3,44",1,辅助,8,0,7942.75,7,72,27,454,2.9259,0.875,3.375,9,56,42,8,0.687
2677,JDGMorgan,Morgan,29,"58,516,266",1,上单,3,1,13207.6667,12,11,4,837,5.75,4,1.3333,3.6667,279,10,5,0.463
2680,OMGCurse,Curse,6,"58,266,39",1,上单,34,4,12272.6471,90,116,125,9131,1.648,2.6471,3.6765,3.4118,268,14,5,0.538
2766,WEClever9,Clever9,12,"58,516,41",1,上单,1,1,13341,1,6,2,283,3.5,1,2,6,283,19,5,0.87
2770,EDGJiejie,Jiejie,1,"64,59,48",2,打野,44,1,10168.1818,93,318,105,6543,3.9143,2.1136,2.3864,7.2273,144.5,28.5,10.5,0.7025
2771,JDGKanavi,Kanavi,29,"64,421,203",1,打野,10,1,11413.5,35,59,39,1743,2.4103,3.5,3.9,5.9,174,15,12,0.71
2772,LNGPlex,Plex,9,"518,517,142",1,中单,31,2,13761.2903,98,170,69,8942,3.8841,3.1613,2.2258,5.4839,288,9,7,0.613
2773,V5Max,Max,587,"111,223,25",1,辅助,35,4,7497.0286,27,264,125,1818,2.328,0.7714,3.5714,7.5429,51,37,10,0.636
2774,RNGLoveZrr,LoveZrr,8,"266,58,85",1,上单,4,1,10785.75,6,31,19,857,1.9474,1.5,4.75,7.75,214,16,3,0.52
2775,RWHolder,Holder,422,"7,134,112",1,上单,2,0,13341.5,4,9,8,641,1.625,2,4,4.5,320,15,6,0.62
2776,TESAKi,AKi,42,"203,48,59",1,打野,6,1,10534.6667,10,54,16,895,4,1.6667,2.6667,9,149,10,15,0.739
2778,IGForge,Forge,2,"517,39,7",1,中单,11,1,11083,36,47,32,2606,2.5938,3.2727,2.9091,4.2727,236,12,3,0.612
2798,IGLeyan,Leyan,2,"517,76,48",2,打野,6,1,11245.6667,23,35,23,1008,2.5217,3.8333,3.8333,5.8333,177.5,31.5,16.5,0.606
2820,LGDGarvey,Garvey,4,"39,266,84",1,上单,13,0,11901.5385,40,35,48,3187,1.5625,3.0769,3.6923,2.6923,245,14,4,0.585
2843,DMOAitong,Aitong,438,"2,517,48",1,打野,10,2,10576.7,22,54,25,1585,3.04,2.2,2.5,5.4,158,16,15,0.67
