iChampionId,num,iAppearancesFrequency,sAveragingPick,sAveragingBan,sAveragingWin,iKill,iDeath,iAssists,sAveragingKill,sAveragingDeath,sAveragingAssists,sAveragingOfferedRate,sOftenMemberName
42,1,12,0.0358,0.006,0.4167,36,33,46,3,2.75,3.8333,0.61,LNGMaple
43,2,63,0.1726,0.3288,0.3333,64,135,432,1.0159,2.1429,6.8571,0.77,FPXDoinb
44,2,15,0.0411,0.0192,0.6,8,41,134,0.5333,2.7333,8.9333,0.78,OMGSora
48,2,124,0.3397,0.1562,0.4597,176,294,898,1.4194,2.371,7.2419,0.745,LNGXx
51,2,21,0.0575,0.126,0.6667,89,44,114,4.2381,2.0952,5.4286,0.565,IGPuff
53,1,6,0.0179,0.0209,0.3333,5,14,26,0.8333,2.3333,4.3333,0.6,OMGSora
54,2,4,0.011,0,0.5,10,14,22,2.5,3.5,5.5,0.715,OMGCurse
56,1,1,0.003,0,1,4,3,8,4,3,8,0.46,RNGXLB
57,1,10,0.0299,0.009,0.5,10,28,64,1,2.8,6.4,0.62,DMOChelizi
58,2,140,0.3836,0.3726,0.5357,360,392,701,2.5714,2.8,5.0071,0.545,SNBin
59,2,27,0.074,0.1151,0.5556,42,62,255,1.5556,2.2963,9.4444,0.78,TESKarsa
60,1,2,0.006,0.003,0,5,5,3,2.5,2.5,1.5,0.65,DMOXiaopeng
61,2,58,0.1589,0.1233,0.4828,211,128,358,3.6379,2.2069,6.1724,0.74,SNAngel
62,2,90,0.2466,0.2658,0.5222,282,261,398,3.1333,2.9,4.4222,0.505,LNGFlandre
64,2,135,0.3699,0.2493,0.5333,424,360,925,3.1407,2.6667,6.8519,0.725,SNSofM
67,1,1,0.0333,0,0,4,4,7,4,4,7,0.73,LGDKramer
68,1,14,0.0418,0.0597,0.5,55,43,91,3.9286,3.0714,6.5,0.74,IGTheShy
69,1,8,0.0239,0.0567,0.375,39,23,43,4.875,2.875,5.375,0.7,FPXDoinb
72,1,2,0.0667,0,0,0,4,18,0,2,9,0.65,LGDPeanut
76,2,53,0.1452,0.5151,0.5094,211,130,288,3.9811,2.4528,5.434,0.74,FPXTian
78,1,2,0.006,0,0,3,10,7,1.5,5,3.5,0.45,DMOXiaopeng
79,2,3,0.0082,0,0.6667,2,6,19,0.6667,2,6.3333,0.635,WEMissing
80,2,9,0.0247,0.0438,0.3333,10,41,54,1.1111,4.5556,6,0.535,JDGLvMao
81,2,137,0.3753,0.1781,0.5036,551,271,639,4.0219,1.9781,4.6642,0.64,DMOxubin
82,2,56,0.1534,0.0795,0.4643,158,195,177,2.8214,3.4821,3.1607,0.37,ESXiaobai
84,1,11,0.0328,0.0179,0.4545,53,24,55,4.8182,2.1818,5,0.67,BLGFoFo
85,2,27,0.074,0.0521,0.5185,65,108,146,2.4074,4,5.4074,0.535,VGCube
89,2,98,0.2685,0.1233,0.5612,61,319,741,0.6224,3.2551,7.5612,0.56,FPXCrisp
96,1,2,0.006,0,0,2,2,1,1,1,0.5,0.5,OMGSmlz
98,1,4,0.0119,0.003,0.75,5,9,45,1.25,2.25,11.25,0.74,BLGADD
99,2,21,0.0575,0.0192,0.6667,18,50,206,0.8571,2.381,9.8095,0.685,VGMaestro
104,2,135,0.3699,0.3726,0.4963,455,304,767,3.3704,2.2519,5.6815,0.685,SNSofM
106,2,124,0.3397,0.2329,0.4516,277,327,818,2.2339,2.6371,6.5968,0.63,IGNing
110,1,18,0.0537,0.609,0.5556,68,46,104,3.7778,2.5556,5.7778,0.61,RWZWuJi
111,2,164,0.4493,0.1863,0.5183,109,543,1216,0.6646,3.311,7.4146,0.58,SNSwordArt
113,1,2,0.006,0,0,0,7,16,0,3.5,8,0.7,RNGMing
114,2,5,0.0137,0.0027,0.6,20,12,20,4,2.4,4,0.5,ESCJJ
115,1,1,0.003,0.009,0,0,2,3,0,2,3,1,VGZeka
117,2,8,0.0219,0.0027,0.375,4,16,75,0.5,2,9.375,0.855,IGSouthwind
120,1,6,0.0179,0.009,0.5,16,25,31,2.6667,4.1667,5.1667,0.55,WEMorgan
126,2,49,0.1342,0.0822,0.4286,153,159,223,3.1224,3.2449,4.551,0.565,FPXKhan
127,1,4,0.0119,0.0239,1,13,13,42,3.25,3.25,10.5,0.67,IGRookie
131,1,2,0.006,0.0119,0.5,14,7,14,7,3.5,7,0.78,TESknight
133,2,9,0.0247,0.0329,0.6667,27,18,53,3,2,5.8889,0.68,LNGFlandre
134,2,102,0.2795,0.5096,0.5392,380,231,496,3.7255,2.2647,4.8627,0.62,FPXDoinb
136,1,5,0.0149,0.009,0.2,13,24,26,2.6,4.8,5.2,0.66,WETeacherma
141,2,3,0.0082,0,0.3333,8,11,10,2.6667,3.6667,3.3333,0.555,JDGKanavi
142,2,98,0.2685,0.3726,0.551,353,167,572,3.602,1.7041,5.8367,0.68,SNAngel
145,1,34,0.1015,0.0149,0.3529,103,102,145,3.0294,3,4.2647,0.65,RWZWuJi
150,2,15,0.0411,0.0027,0.6,42,36,75,2.8,2.4,5,0.55,JDGZoom
164,2,35,0.0959,0.0959,0.5143,127,109,169,3.6286,3.1143,4.8286,0.595,IGNing
201,2,36,0.0986,0.0548,0.4722,12,94,328,0.3333,2.6111,9.1111,0.65,EDGMeiko
202,2,37,0.1014,0.0192,0.4054,136,69,213,3.6757,1.8649,5.7568,0.655,SNhuanfeng
203,2,25,0.0685,0.0493,0.6,96,60,133,3.84,2.4,5.32,0.675,DMOXiaopeng
223,2,44,0.1205,0.1014,0.4545,23,130,308,0.5227,2.9545,7,0.59,VGMaestro
235,2,32,0.0877,0.0712,0.5,72,61,224,2.25,1.9063,7,0.785,RWZWuJi
236,2,13,0.0356,0.0219,0.4615,51,38,68,3.9231,2.9231,5.2308,0.585,OMGCurse
238,1,2,0.006,0,0,4,7,1,2,3.5,0.5,0.27,IGRookie
245,2,28,0.0767,0.0356,0.5,116,70,140,4.1429,2.5,5,0.645,RWHaro
246,2,4,0.011,0.0027,0.5,24,12,21,6,3,5.25,0.555,VGLeyan
266,1,18,0.0537,0.0149,0.3333,31,63,68,1.7222,3.5,3.7778,0.48,RWHolder
268,2,55,0.1507,0.1425,0.4909,171,168,292,3.1091,3.0545,5.3091,0.675,RNGXiaohu
350,2,28,0.0767,0.0904,0.3929,11,49,259,0.3929,1.75,9.25,0.905,OMGSora
412,2,119,0.326,0.3178,0.4706,61,347,974,0.5126,2.916,8.1849,0.66,IGSouthwind
421,1,26,0.0776,0.0716,0.4231,93,80,119,3.5769,3.0769,4.5769,0.64,RNGXLB
429,2,59,0.1616,0.3945,0.4237,240,156,289,4.0678,2.6441,4.8983,0.66,BLGWings
432,2,87,0.2384,0.2795,0.6092,82,187,917,0.9425,2.1494,10.5402,0.735,DMOYui
497,1,1,0.003,0,1,1,3,13,1,3,13,0.66,RNGMing
498,1,1,0.003,0,1,10,4,10,10,4,10,0.76,RWZWuJi
516,2,122,0.3342,0.3808,0.4754,192,316,792,1.5738,2.5902,6.4918,0.625,VGCube
517,2,50,0.137,0.0603,0.48,195,138,288,3.9,2.76,5.76,0.63,RNGXiaohu
518,1,2,0.006,0,1,5,2,20,2.5,1,10,0.8,IGRookie
523,1,159,0.4746,0.3463,0.5723,681,357,772,4.283,2.2453,4.8553,0.67,SNhuanfeng
555,1,1,0.003,0,0,6,1,1,6,1,1,0.63,FPXCrisp
875,2,109,0.2986,0.337,0.4312,176,387,751,1.6147,3.5505,6.8899,0.62,FPXGimGoon
876,2,14,0.0384,0.0466,0.3571,57,53,94,4.0714,3.7857,6.7143,0.765,FPXTian
