iChampionId,num,iAppearancesFrequency,sAveragingPick,sAveragingBan,sAveragingWin,iKill,iDeath,iAssists,sAveragingKill,sAveragingDeath,sAveragingAssists,sAveragingOfferedRate,sOftenMemberName
222,1,14,0.1591,0.0114,0.5714,48,25,65,3.4286,1.7857,4.6429,0.6800000,WEElk
223,1,15,0.1705,0.0341,0.5333,8,33,111,0.5333,2.2000,7.4000,0.5800000,FPXCrisp
234,1,24,0.2727,0.3750,0.5833,97,53,116,4.0417,2.2083,4.8333,0.6800000,FPXTian
235,1,14,0.1591,0.1818,0.6429,23,28,111,1.6429,2.0000,7.9286,0.7400000,FPXLwx
236,1,13,0.1477,0.3864,0.4615,54,42,66,4.1538,3.2308,5.0769,0.6100000,LNGAle
240,1,2,0.0227,0.0114,0.5000,8,5,11,4.0000,2.5000,5.5000,0.7700000,FPXDoinb
245,1,1,0.0114,0.0000,0.0000,4,2,1,4.0000,2.0000,1.0000,0.6200000,LNGTarzan
246,1,1,0.0114,0.0227,1.0000,2,2,13,2.0000,2.0000,13.0000,0.8300000,OMGCreme
266,1,3,0.0341,0.0000,0.0000,1,13,4,0.3333,4.3333,1.3333,0.4500000,TESQingtian
268,1,1,0.0114,0.0114,0.0000,1,4,3,1.0000,4.0000,3.0000,0.5000000,SNAngel
412,1,22,0.2500,0.3409,0.5909,11,57,185,0.5000,2.5909,8.4091,0.6900000,FPXCrisp
421,1,1,0.0114,0.0000,0.0000,3,3,4,3.0000,3.0000,4.0000,0.5700000,TTXiaopeng
429,1,7,0.0795,0.0227,0.4286,18,20,37,2.5714,2.8571,5.2857,0.5800000,LNGLight
432,1,4,0.0455,0.0227,0.7500,1,8,35,0.2500,2.0000,8.7500,0.7200000,JDGLvMao
497,1,14,0.1591,0.0455,0.5000,13,35,124,0.9286,2.5000,8.8571,0.6200000,LNGIwandy
516,1,3,0.0341,0.0341,0.6667,4,12,28,1.3333,4.0000,9.3333,0.6900000,JDGZoom
517,1,16,0.1818,0.1705,0.4375,57,34,55,3.5625,2.1250,3.4375,0.6300000,TESknight
523,1,9,0.1023,0.0114,0.5556,38,27,40,4.2222,3.0000,4.4444,0.5300000,FPXLwx
526,1,8,0.0909,0.0455,0.5000,4,30,96,0.5000,3.7500,12.0000,0.7700000,RWkaixuan
875,1,42,0.4773,0.4659,0.5000,106,128,229,2.5238,3.0476,5.4524,0.6400000,JDGZoom
876,1,4,0.0455,0.0341,0.5000,14,9,29,3.5000,2.2500,7.2500,0.7400000,UPH4cker
887,1,27,0.3068,0.1250,0.5556,85,96,124,3.1481,3.5556,4.5926,0.5300000,JDGZoom
