iMemberId,sMemberName,Name,iTeamId,sFavoriteHeros,num,iPosition,iAppearancesFrequency,iMVPFrequency,sAveragingGold,iKill,iAssists,iDeath,iLastLasthit,iKDA,sAveragingKill,sAveragingDeath,sAveragingAssists,sAveragingLastLasthit,sAveragingWardPlaced,sAveragingWardKilled,sAveragingOfferedRate
1575,SSFenfen,Fenfen,9,"38,3,39",1,中单,12,0,11787.75,30,40,30,3159,2.3333,2.5,2.5,3.3333,263,11,5,0.539
1591,RNGTianci,Tianci,8,"58,24,164",1,上单,2,0,10037,1,0,6,494,0.1667,0.5,3,0,247,12,5,0.07
1636,BLGADD,ADD,57,"41,14,78",1,上单,37,5,13142.5946,101,239,79,9707,4.3038,2.7297,2.1351,6.4595,262,20,9,0.641
1638,LGDian,ian,4,"127,112,7",1,中单,14,0,13929.6429,36,64,31,4300,3.2258,2.5714,2.2143,4.5714,307,16,11,0.581
1644,V5y4,y4,587,"236,81,145",1,ADC,35,1,13838.4,129,174,80,10299,3.7875,3.6857,2.2857,4.9714,294,10,10,0.671
1668,EDGiBoy,iBoy,1,"145,81,110",2,ADC,32,5,15429.875,124,156,72,10648,3.8889,3.875,2.25,4.875,326.5,11,15.5,0.727
1797,JDGTeeen,Teeen,29,"412,111,223",1,辅助,1,0,4774,0,3,5,30,0.6,0,5,3,30,23,2,0.75
1824,TOPXx,Xx,42,"79,59,2",2,打野,46,5,10316.2391,83,305,107,7222,3.6262,1.8043,2.3261,6.6304,153.5,23.5,15,0.6785
1830,LGDYuuki,Yuuki,4,"268,142,13",1,中单,24,4,12155.9583,72,125,73,6447,2.6986,3,3.0417,5.2083,268,8,7,0.713
1832,IGJackeyLove,JackeyLove,2,"110,81,145",2,ADC,39,5,13946.3077,189,257,98,11062,4.551,4.8462,2.5128,6.5897,294,9,11.5,0.6215
1905,WEMagic,Magic,12,"59,2,48",1,打野,9,1,9740.8889,12,65,35,1310,2.2,1.3333,3.8889,7.2222,145,21,10,0.8
1906,WEchen9,chen9,12,"517,84,7",1,中单,2,0,12268.5,2,3,3,593,1.6667,1,1.5,1.5,296,17,6,0.31
1932,RWZWuji,Wuji,422,"81,51,145",1,ADC,30,4,13287.4333,104,133,58,8644,4.0862,3.4667,1.9333,4.4333,288,11,11,0.677
1970,SDGTwila,Twila,438,"69,13,26",2,中单,41,5,12743.0488,95,234,95,11634,3.4632,2.3171,2.3171,5.7073,268,13,8.5,0.61
1971,SDGXiaopeng,Xiaopeng,438,"64,421,56",2,打野,41,7,11492.5366,138,233,119,7419,3.1176,3.3659,2.9024,5.6829,177.5,16.5,16.5,0.7
1978,SDGMitsuki,Mistuki,438,"412,111,201",1,辅助,1,0,8644,0,8,5,72,1.6,0,5,8,72,47,4,0.47
1983,VGChelizi,Chelizi,11,"14,516,62",1,上单,27,1,12208.4074,59,96,46,6969,3.3696,2.1852,1.7037,3.5556,258,16,6,0.589
1984,BLGMetoer,Metoer,57,"48,2,59",1,打野,37,6,11833.973,96,262,90,6917,3.9778,2.5946,2.4324,7.0811,186,24,15,0.69
2011,V5Ley,Ley,587,"412,223,12",1,辅助,24,0,9245.1667,13,184,80,1481,2.4625,0.5417,3.3333,7.6667,61,42,9,0.605
2027,SNBiubiu,Biubiu,41,"58,516,266",1,上单,4,0,13954.5,8,38,15,1149,3.0667,2,3.75,9.5,287,22,5,0.747
2043,VGJay,Jay,11,"142,13,7",1,中单,39,3,12370.4615,91,164,103,10594,2.4757,2.3333,2.641,4.2051,271,12,8,0.602
2046,VGAix,Aix,11,"2,59,113",1,打野,39,2,10224.8974,56,221,106,6297,2.6132,1.4359,2.7179,5.6667,161,20,13,0.705
2091,OMGl3est16,I3est16,6,"2,113,48",1,打野,17,0,9819.5294,37,86,56,2622,2.1964,2.1765,3.2941,5.0588,154,20,12,0.67
2147,TOP369,369,42,"58,41,8",2,上单,38,3,12550.9211,108,169,85,9974,3.2588,2.8421,2.2368,4.4474,246,12,5.5,0.502
2150,SNWeiwei,Weiwei,41,"48,104,79",1,打野,15,1,11654.4,45,90,55,2577,2.4545,3,3.6667,6,171,24,13,0.675
2208,WEMissing,Missing,12,"201,412,111",2,辅助,39,1,9447.8718,20,339,113,2518,3.177,0.5128,2.8974,8.6923,59.5,50.5,7,0.6225
2268,SNAngel,Angel,41,"142,7,134",1,中单,8,1,14050.375,37,51,22,2296,4,4.625,2.75,6.375,287,21,9,0.693
2283,SSAndy,Andy,9,"245,39,266",1,中单,4,0,12470.25,7,21,17,1120,1.6471,1.75,4.25,5.25,280,16,11,0.632
2304,OMGAle,Ale,6,"164,24,266",1,上单,26,1,11950.8462,67,91,72,6507,2.1944,2.5769,2.7692,3.5,250,12,5,0.509
2347,VGZdz,Zdz,11,"266,41,8",1,上单,12,1,13443.75,26,46,40,3384,1.8,2.1667,3.3333,3.8333,282,16,5,0.57
2355,SDGMark,Mark,438,"111,223,497",2,辅助,39,1,8981.0513,19,317,91,2148,3.6923,0.4872,2.3333,8.1282,50.5,44.5,9,0.6755
2356,SDGChanghong,Changhong,438,"14,41,266",2,上单,41,3,11934.4634,86,237,111,9802,2.9099,2.0976,2.7073,5.7805,229,12,3,0.6125
2357,SDGGALA,GALA,438,"145,110,498",2,ADC,41,8,14481.5366,170,191,75,12872,4.8133,4.1463,1.8293,4.6585,301,10,8.5,0.6275
2562,TOPKnight9,Knight9,42,"142,134,42",2,中单,46,13,13411.0435,177,242,72,13526,5.8194,3.8478,1.5652,5.2609,281.5,10,7.5,0.7465
2563,SDGMark,Mark,438,"523,110,81",1,辅助,6,0,12230.6667,17,36,12,1426,4.4167,2.8333,2,6,237,17,11,0.65
2565,RWZhaoYun,ZhaoYun,422,"58,240,266",1,上单,20,1,12084.35,48,74,59,5222,2.0678,2.4,2.95,3.7,261,13,5,0.532
2566,RWHuatian,Huatian,422,"39,42,157",1,ADC,24,1,12367.9167,66,106,89,6697,1.9326,2.75,3.7083,4.4167,279,14,5,0.605
2567,RWXuzhu,Xuzhu,422,"2,421,59",1,打野,22,1,9691.9545,23,135,56,3392,2.8214,1.0455,2.5455,6.1364,154,27,12,0.689
2568,RWJiangqiao,Jiangqiao,422,"14,6,126",1,上单,12,0,10883,24,53,43,2819,1.7907,2,3.5833,4.4167,234,13,2,0.547
2569,RWKongming,Kongming,422,"127,3,7",1,中单,10,0,11377.4,20,43,21,2492,3,2,2.1,4.3,249,13,5,0.61
2571,WEPoss,Poss,12,"14,6,83",2,上单,39,1,12125.6154,81,172,76,10135,3.3289,2.0769,1.9487,4.4103,266,14.5,6,0.4
2573,WEbeishang,beishang,12,"2,59,64",2,打野,30,3,10525.5667,72,218,72,4834,4.0278,2.4,2.4,7.2667,164,18,14.5,0.6365
2574,OMGXuan,Xuan,6,"89,111,43",1,辅助,4,0,6928.5,3,17,14,189,1.4286,0.75,3.5,4.25,47,39,1,0.64
2575,OMGPenguin,Penguin,6,"59,5,113",1,打野,18,2,10067.9444,40,121,55,2690,2.9273,2.2222,3.0556,6.7222,149,14,7,0.7
2576,SSMala,Mala,9,"127,142,3",1,中单,21,1,11554.8095,43,106,57,5363,2.614,2.0476,2.7143,5.0476,255,13,7,0.593
2577,BLGKine,Kine,57,"412,12,25",1,辅助,5,0,11383.8,4,44,15,353,3.2,0.8,3,8.8,70,49,11,0.686
2578,BLGMni,Mni,57,"223,201,3",1,辅助,32,1,9701.625,23,275,85,2075,3.5059,0.7188,2.6563,8.5938,64,51,8,0.696
2586,RWXiaoYao,XiaoYao,422,"2,5,59",1,打野,10,1,10060,26,60,29,1480,2.9655,2.6,2.9,6,148,18,9,0.716
2587,RWHuanggai,Huanggai,422,"412,223,201",1,辅助,10,1,7425.4,9,71,36,414,2.2222,0.9,3.6,7.1,41,51,7,0.713
2588,LGDAris,Aris,4,"13,114,126",1,上单,4,0,11425,6,10,18,1025,0.8889,1.5,4.5,2.5,256,15,3,0.464
2688,OMGBright,Bright,6,"6,127",1,中单,2,0,9201.5,3,1,6,422,0.6667,1.5,3,0.5,211,10,8,0.54
2711,SNBaBi9,BaBi9,41,"236,81,67",1,ADC,1,0,9712,1,4,1,251,5,1,1,4,251,7,8,1
