iChampionId,num,iAppearancesFrequency,sAveragingPick,sAveragingBan,sAveragingWin,iKill,iDeath,iAssists,sAveragingKill,sAveragingDeath,sAveragingAssists,sAveragingOfferedRate,sOftenMemberName
133,2,3,0.0094,0.0000,0.0000,5,8,5,1.6667,2.6667,1.6667,0.4600000,VGChelizi
134,1,5,0.0174,0.0070,0.4000,14,14,30,2.8000,2.8000,6.0000,0.6300000,RWHuaTian
136,1,1,0.0035,0.0000,0.0000,0,5,1,0.0000,5.0000,1.0000,0.1400000,V5Mole
141,1,1,0.0035,0.0000,0.0000,7,7,8,7.0000,7.0000,8.0000,0.8300000,IGNing
142,2,35,0.1101,0.1541,0.4571,115,73,137,3.2857,2.0857,3.9143,0.6250000,TESKnight9
145,2,132,0.4151,0.0849,0.5758,638,278,629,4.8333,2.1061,4.7652,0.6500000,LNGAsura
150,2,15,0.0472,0.0126,0.6000,36,35,66,2.4000,2.3333,4.4000,0.5050000,RWHolder
157,2,16,0.0503,0.1101,0.4375,49,58,81,3.0625,3.6250,5.0625,0.5900000,V5Windy
161,1,1,0.0035,0.0000,0.0000,1,4,2,1.0000,4.0000,2.0000,0.5000000,DMOTwila
163,1,24,0.0836,0.0801,0.3333,77,81,131,3.2083,3.3750,5.4583,0.6900000,RNGXiaohu
164,2,41,0.1289,0.1101,0.4634,134,114,151,3.2683,2.7805,3.6829,0.5600000,TES369
201,2,52,0.1635,0.0377,0.4423,16,153,452,0.3077,2.9423,8.6923,0.5250000,VGSouthwind
202,1,3,0.0105,0.0000,1.0000,17,5,19,5.6667,1.6667,6.3333,0.6900000,LGDKramer
203,2,8,0.0252,0.0189,0.2500,15,27,43,1.8750,3.3750,5.3750,0.6950000,IGNing
222,1,8,0.0279,0.0000,0.3750,24,16,29,3.0000,2.0000,3.6250,0.6700000,WEMystic
223,2,100,0.3145,0.1981,0.5200,60,271,768,0.6000,2.7100,7.6800,0.6300000,TESBen
236,2,67,0.2107,0.1447,0.5224,258,162,322,3.8507,2.4179,4.8060,0.6200000,FPXLwx
238,1,2,0.0070,0.0070,0.5000,8,5,7,4.0000,2.5000,3.5000,0.4200000,V5Windy
240,1,2,0.0070,0.0174,0.0000,1,10,5,0.5000,5.0000,2.5000,0.5700000,LNGPlex
245,1,1,0.0323,0.0000,1.0000,4,0,1,4.0000,0.0000,1.0000,0.6200000,TESKnight9
246,2,36,0.1132,0.1918,0.6111,171,91,176,4.7500,2.5278,4.8889,0.5900000,LNGFenfen
254,1,1,0.0035,0.0000,1.0000,3,5,5,3.0000,5.0000,5.0000,0.3600000,IGNing
266,2,108,0.3396,0.5157,0.5185,284,293,486,2.6296,2.7130,4.5000,0.5200000,FPXTian
268,2,53,0.1667,0.0912,0.4528,126,135,215,2.3774,2.5472,4.0566,0.4500000,SNMaple
350,2,82,0.2579,0.5723,0.5000,83,138,704,1.0122,1.6829,8.5854,0.8050000,TESBen
412,1,5,0.0174,0.0174,0.8000,8,5,45,1.6000,1.0000,9.0000,0.7900000,VGSouthwind
421,2,59,0.1855,0.1384,0.4915,174,181,281,2.9492,3.0678,4.7627,0.6050000,VGAix
429,1,16,0.0557,0.0871,0.5625,54,30,91,3.3750,1.8750,5.6875,0.6100000,JDGimp
432,1,5,0.0174,0.0000,0.6000,2,10,52,0.4000,2.0000,10.4000,0.6800000,LGDPyl
497,2,59,0.1855,0.0881,0.4576,38,139,526,0.6441,2.3559,8.9153,0.7200000,SNSwordArt
498,2,107,0.3365,0.1289,0.5047,420,248,491,3.9252,2.3178,4.5888,0.6350000,SNSmlz
516,1,2,0.0070,0.0000,0.5000,4,3,12,2.0000,1.5000,6.0000,0.5400000,VGCube
517,2,134,0.4214,0.4591,0.5597,492,370,716,3.6716,2.7612,5.3433,0.6700000,FPXGimGoon
518,2,70,0.2201,0.3428,0.4429,163,219,399,2.3286,3.1286,5.7000,0.5950000,DMOTwila
555,2,17,0.0535,0.0503,0.7059,58,52,108,3.4118,3.0588,6.3529,0.4850000,FPXCrisp
